address line1,city,state province,postal code,latitude,longitude,known use,owner,owner type,bbl,area acres
1416 EASTERN PARKWAY EXT,,NY,11233,40.6687064494,-73.9212900557,,New York City Department of Housing Preservation and Development,public,3014750039,0.017355371900857200
        PARK PLACE,,NY,11233,40.6716433579,-73.913633344,,New York City Department of Housing Preservation and Development,public,3014650066,0.039348025711731800
        WARWICK STREET,,NY,11207,40.6688597975618,-73.885000650407,,New York City Department of Housing Preservation and Development,public,3040620030,0.103076216712763000
202 WYONA STREET,,NY,11207,40.6740531018,-73.8937555766,,New York City Department of Housing Preservation and Development,public,3037060032,0.045913682277400000
        HOWARD AVENUE,,NY,11233,40.6712410331,-73.9185722787,,New York City Department of Housing Preservation and Development,public,3014670022,1.006657483931995000
469 LIVONIA AVENUE,,NY,11207,40.66409,-73.900105,,New York City Department of Housing Preservation and Development,public,3037990047,0.045913682277400000
885 NEW JERSEY AVENUE,,NY,11207,40.6580573898,-73.8888613363,,New York City Department of Housing Preservation and Development,public,3043480048,0.061983471074490000
250 HERZL STREET,,NY,11212,40.663856997,-73.914403975,,New York City Department of Housing Preservation and Development,public,3035550045,0.045913682277400000
17 LOUIS PLACE,,NY,11233,40.6772699324,-73.9170690468,,New York City Department of Housing Preservation and Development,public,3015610009,0.041046831955995600
1968 FULTON STREET,,NY,11233,40.67869536,-73.91994704,,New York City Department of Housing Preservation and Development,public,3015480128,0.045913682277400000
        NEW LOTS AVENUE,,NY,11212,40.657491331369,-73.9033545925156,,New York City Department of Housing Preservation and Development,public,3038550040,0.131198347107670500
54 BUFFALO AVENUE,,NY,11233,40.6773027977,-73.9249608459,,New York City Department of Housing Preservation and Development,public,3017100051,0.020661157024830000
816 HERKIMER STREET,,NY,11233,40.6779870553,-73.9262111022,community garden,New York City Department of Housing Preservation and Development,public,3017100009,0.141643709825779000
821 WILLOUGHBY AVENUE,,NY,11206,40.6956662659,-73.9355785231,,New York City Department of Housing Preservation and Development,public,3015890058,0.057392102846750000
358 MALCOLM X BOULEVARD,,NY,11233,40.68066243399845,-73.92874538898468,,New York City Department of Housing Preservation and Development,public,3016860048,0.034435261708050000
2103 PACIFIC STREET,,NY,11233,40.6761173611,-73.9173949447,,New York City Department of Housing Preservation and Development,public,3014320044,0.038269054178212900
457-67 EAST 147 STREET,,NY,10455,40.8140429954,-73.9162772431,,New York City Department of Housing Preservation and Development,public,2022920050,0.343503213958368100
        STANLEY AVENUE,,NY,11208,40.6662425697,-73.8566451584,,New York City Department of Housing Preservation and Development,public,3045400010,2.182047750233435000
443 HINSDALE STREET,,NY,11207,40.664278,-73.89845,,New York City Department of Housing Preservation and Development,public,3038010001,0.114784205693500000
        GLENMORE AVENUE,,NY,11208,40.6760112413,-73.8782574888,,New York City Department of Housing Preservation and Development,public,3039920048,0.047520661157109000
533 LINWOOD STREET,,NY,11208,40.6725182591,-73.8819661682,,New York City Department of Housing Preservation and Development,public,3040350115,0.057392102846750000
36 VERMONT STREET,,NY,11207,40.6792867519,-73.8960618634,,New York City Department of Housing Preservation and Development,public,3034860033,0.052800734619010000
        DEAN STREET,,NY,11233,40.674325861,-73.9076670918,,New York City Department of Housing Preservation and Development,public,3014500014,0.046740128558393200
155 AMBOY STREET,,NY,11212,40.66686,-73.913627,community garden,New York City Department of Parks and Recreation,public,3035180001,0.213314967860800400
        PACIFIC STREET,,NY,11233,40.6761145749,-73.9173372655,,New York City Department of Housing Preservation and Development,public,3014320043,0.038269054178212900
650 GLENMORE AVENUE,,NY,11207,40.6744219953,-73.8862852804,community garden,New York City Department of Parks and Recreation,public,3039980017,0.103305785124150000
        VAN BUREN STREET,,NY,11221,40.6905446938,-73.9410104134,community garden,New York City Department of Housing Preservation and Development,public,3017920061,1.071510560148822500
482 WARWICK STREET,,NY,11207,40.671640922,-73.8856663706,,New York City Department of Housing Preservation and Development,public,3040300020,0.045913682277400000
342 VAN SICLEN AVENUE,,NY,11207,40.6715191658,-73.8902916851,,New York City Department of Housing Preservation and Development,public,3040090047,0.047979797979883000
774 HALSEY STREET,,NY,11233,40.6846381876,-73.9228577246,community garden,New York City Department of Parks and Recreation,public,3014930001,0.057966023875217500
1034 JEFFERSON AVENUE,,NY,11221,40.68713,-73.916969,,New York City Department of Housing Preservation and Development,public,3033870012,0.524563820019295000
1680 PACIFIC STREET,,NY,11213,40.6765227339,-73.9329652312,community garden,New York City Department of Parks and Recreation,public,3013420008,0.060032139577700500
330 ASHFORD STREET,,NY,11207,40.6743718126007,-73.8855030729799,community green space,New York City Department of Parks and Recreation,public,3039990019,0.081404958677830200
        RIVERDALE AVENUE,,NY,11212,40.6605245856,-73.910472334,,New York City Department of Housing Preservation and Development,public,3036000134,0.034435261708050000
890 MYRTLE AVENUE,,NY,11206,40.6955864848485,-73.9466627272727,,New York City Department of Housing Preservation and Development,public,3017550040,0.057392102846750000
943 DUMONT AVENUE,,NY,11207,40.6680928466,-73.8838484592,,New York City Department of Housing Preservation and Development,public,3040630052,0.123966942148980000
        ST JOHNS PLACE,,NY,11233,40.6696154778,-73.9180843064,,New York City Department of Housing Preservation and Development,public,3014740029,0.044834710743881100
        BLAKE AVENUE,,NY,11207,40.6687768336,-73.8871456297,,New York City Department of Housing Preservation and Development,public,3040600016,0.110766758494227500
653 LINWOOD STREET,,NY,11208,40.6692511136,-73.8811320332,,New York City Department of Housing Preservation and Development,public,3040670014,0.054132231405054600
160 RIVERDALE AVENUE,,NY,11212,40.6604945556,-73.9106814248,,New York City Department of Housing Preservation and Development,public,3036000032,0.034435261708050000
514 ROCKAWAY AVENUE,,NY,11212,40.6674661408,-73.9104810403,community garden,New York City Department of Parks and Recreation,public,3035210072,0.057392102846750000
        SUTTER AVENUE,,NY,11208,40.6709868048971,-73.8820950494622,community garden,New York City Department of Parks and Recreation,public,3040500022,0.075757575757710000
1966 FULTON STREET,,NY,11233,40.67870028,-73.92003792,,New York City Department of Housing Preservation and Development,public,3015480028,0.045913682277400000
        JEFFERSON AVENUE,,NY,11221,40.6857929719975,-73.9302624724288,,New York City Department of Housing Preservation and Development,public,3016510052,0.055096418732880000
        BERGEN STREET,,NY,11233,40.6736079213,-73.9091641719,,New York City Department of Housing Preservation and Development,public,3014550040,0.047015610652057600
581 BELMONT AVENUE,,NY,11207,40.6719589249,-73.8880595047,,New York City Department of Housing Preservation and Development,public,3040120034,0.114784205693500000
1973A BERGEN STREET,,NY,11233,40.6744553362,-73.9154242196,,New York City Department of Housing Preservation and Development,public,3014470067,0.049196510560234100
        EASTERN PARKWAY,,NY,11233,40.6718627447,-73.9133735048,,New York City Department of Housing Preservation and Development,public,3014650014,0.060261707989087500
        DE GRAW STREET,,NY,11231,40.6852970876647,-74.0020542176636,,New York City Department of Housing Preservation and Development,public,3003300112,0.009641873278254000
294 COLUMBIA STREET,,NY,11231,40.6821524936748,-74.0044023062287,,New York City Department of Housing Preservation and Development,public,3003570036,0.057392102846750000
569 CHRISTOPHER AVENUE,,NY,11212,40.6578895,-73.902726,,New York City Department of Housing Preservation and Development,public,3038560005,0.057392102846750000
642 HINSDALE STREET,,NY,11207,40.658927424,-73.8976686352,,New York City Department of Housing Preservation and Development,public,3038660041,0.057392102846750000
175 SUMPTER STREET,,NY,11233,40.6803617626,-73.9187705521,,New York City Department of Housing Preservation and Development,public,3015190063,0.057392102846750000
638 HOWARD AVENUE,,NY,11212,40.6664603223,-73.9199878265,,New York City Department of Housing Preservation and Development,public,3035110064,0.057392102846750000
279 GRAFTON STREET,,NY,11212,40.6614239,-73.917132,,New York City Department of Housing Preservation and Development,public,3035670006,0.025826446281037500
        CHAUNCEY STREET,,NY,11233,40.681042679,-73.9271455755,,New York City Department of Housing Preservation and Development,public,3016870170,0.018916437098288800
        ST MARKS AVENUE,,NY,11233,40.6734432798,-73.912769414,,New York City Department of Housing Preservation and Development,public,3014540066,0.058654729109378500
        PARK PLACE,,NY,11233,40.6715992762,-73.9134135011,,New York City Department of Housing Preservation and Development,public,3014650063,0.029843893480310000
        HINSDALE STREET,,NY,11207,40.664403967082,-73.8984640436635,,New York City Department of Housing Preservation and Development,public,3038010003,0.114784205693500000
806 BLAKE AVENUE,,NY,11207,40.6685038906,-73.8887213681,,New York City Department of Housing Preservation and Development,public,3040580018,0.057392102846750000
86 GERRY STREET,,NY,11206,40.7016911912,-73.9466195463,,New York City Department of Housing Preservation and Development,public,3022690023,0.057392102846750000
398 HOWARD AVENUE,,NY,11233,40.6741263466,-73.9197875618,,New York City Department of Housing Preservation and Development,public,3014510040,0.041322314049660000
1459 ST MARK'S AVENUE,,NY,11233,40.673717083,-73.9193698702,,New York City Department of Housing Preservation and Development,public,3014520001,0.031290174472048100
379 HOWARD AVENUE,,NY,11233,40.6746803342,-73.9191343752,,New York City Department of Housing Preservation and Development,public,3014460003,0.096808999081897900
182 WYONA STREET,,NY,11207,40.6744621395,-73.8938270265,,New York City Department of Housing Preservation and Development,public,3037060025,0.035353535353598000
        RIVERDALE AVENUE,,NY,11212,40.6613678617,-73.9077931588,,New York City Department of Housing Preservation and Development,public,3035900040,0.057392102846750000
        FULTON STREET,,NY,11216,40.68085770394781,-73.95416736602783,,New York City Department of Housing Preservation and Development,public,3020000043,0.041000918273718200
        ASHFORD STREET,,NY,11207,40.6740830334,-73.884923148,community green space,New York City Department of Parks and Recreation,public,3040000003,0.051652892562075000
        CHAUNCEY STREET,,NY,11233,40.6810332159,-73.9274554532,,New York City Department of Housing Preservation and Development,public,3016870174,0.012832874196533300
743 BLAKE AVENUE,,NY,11207,40.668495467599975,-73.89139610769999,,New York City Department of Housing Preservation and Development,public,3037750150,0.091827364554800000
1277 DE KALB AVENUE,,NY,11221,40.697112887,-73.92662269,,New York City Department of Housing Preservation and Development,public,3032320063,0.032392102846705700
406 NOSTRAND AVENUE,,NY,11216,40.685333,-73.950673,,New York City Department of Housing Preservation and Development,public,3018170050,0.025826446281037500
791 SARATOGA AVENUE,,NY,11212,40.661266,-73.91507,,New York City Department of Housing Preservation and Development,public,3035830027,0.045913682277400000
1739 EAST NEW YORK AVENUE,,NY,11212,40.6731578541635,-73.9092621269702,,New York City Department of Housing Preservation and Development,public,3014550062,0.022382920110232500
487 4 AVENUE,,NY,11215,40.668254,-73.989979,,New York City Department of Housing Preservation and Development,public,3010280007,0.112304866850520400
        LIBERTY AVENUE,,NY,11212,40.6727469973,-73.9069014168,,New York City Department of Housing Preservation and Development,public,3036920019,0.051078971533607500
615 SARATOGA AVENUE,,NY,11212,40.665825,-73.916239,community garden,New York City Department of Parks and Recreation,public,3035370019,0.060078053259977900
        PARK PLACE,,NY,0,40.67162269,-73.9133396978,,New York City Department of Housing Preservation and Development,public,3014650062,0.035422405877014100
53 MAC DOUGAL STREET,,NY,11233,40.6794596766,-73.9201200491,,New York City Department of Housing Preservation and Development,public,3015240043,0.057392102846750000
        ST JOHNS PLACE,,NY,11233,40.6696291503,-73.9180121934,,New York City Department of Housing Preservation and Development,public,3014740030,0.038774104683264300
        BERGEN STREET,,NY,11233,40.674580523,-73.9177249103,,New York City Department of Housing Preservation and Development,public,3014460056,0.049196510560234100
        PROSPECT PLACE,,NY,0,40.6733015814,-73.9227550063,,New York City Department of Housing Preservation and Development,public,3013630150,0.035835629017510700
        STANLEY AVENUE,,NY,11208,40.666805778,-73.8572266729,,New York City Department of Housing Preservation and Development,public,3045400001,0.109274563820212000
273 MOTHER GASTON BLVD,,NY,11212,40.6726128119,-73.9072837312,,New York City Department of Housing Preservation and Development,public,3036920015,0.050229568411475600
87 LEGION STREET,,NY,11212,40.6668455945,-73.9175217763,,New York City Department of Housing Preservation and Development,public,3035140006,0.060835629017555000
        FLATLANDS AVENUE,,NY,0,40.6564235096921,-73.8756098157255,,New York City Department of Housing Preservation and Development,public,3044470001,2.134986225899100000
175 BUFFALO AVENUE,,NY,11213,40.6733584637,-73.9248210832,,New York City Department of Housing Preservation and Development,public,3013630007,0.041322314049660000
1835 ATLANTIC AVENUE,,NY,11233,40.6775361175,-73.9249822148,,New York City Department of Housing Preservation and Development,public,3017100052,0.059343434343539500
412 HOWARD AVENUE,,NY,11233,40.6737119109,-73.9198241105,,New York City Department of Housing Preservation and Development,public,3014510048,0.098714416896410000
        LIVONIA AVENUE,,NY,11207,40.6641006544983,-73.9000144461417,,New York City Department of Housing Preservation and Development,public,3037990046,0.045913682277400000
        HOWARD AVENUE,,NY,11212,40.6614605918,-73.9178780584,,New York City Department of Housing Preservation and Development,public,3035660006,0.459136822774000000
1903A ATLANTIC AVENUE,,NY,11233,40.677182303,-73.9212656315,,New York City Department of Housing Preservation and Development,public,3015560033,0.027548209366440000
112 SEIGEL STREET,,NY,11206,40.7043375955,-73.9418818467,,New York City Department of Housing Preservation and Development,public,3030970013,0.057392102846750000
303 HINSDALE STREET,,NY,11207,40.667742375,-73.8993240922,,New York City Department of Housing Preservation and Development,public,3037670005,0.045913682277400000
        JAVA STREET,,NY,11222,40.731427449,-73.9588165411,community green space,New York City Department of Parks and Recreation,public,3025390029,0.063314967860534600
        HERKIMER STREET,,NY,11213,40.6793206189064,-73.9396575252305,community garden,New York City Department of Parks and Recreation,public,3018640052,0.045913682277400000
        LIVONIA AVENUE,,,11207,40.665482189492984,-73.8870649523359,community garden,New York City Department of Parks and Recreation,public,,0.101463728191180712
518 ROCKAWAY AVENUE,,NY,11212,40.6673947626,-73.9104631126,community garden,New York City Department of Parks and Recreation,public,3035210073,0.057392102846750000
462 HALSEY STREET,,NY,11233,40.6832050538,-73.9356626723,community green space,New York City Department of Parks and Recreation,public,3016640040,0.121671258035110000
        HALSEY STREET,,NY,11233,40.6848593868,-73.9253093001,community garden,New York City Department of Parks and Recreation,public,3016630082,0.061983471074490000
1563 PROSPECT PLACE,,NY,11233,40.6731139237,-73.9244320189,,New York City Department of Housing Preservation and Development,public,3013630090,0.044857667585019800
129 STANTON STREET,,NY,10002,40.7207404565,-73.9865617855,,New York City Department of Parks and Recreation,public,1003540016,0.042102846648375800
159 NORFOLK STREET,,NY,10002,40.7207074965,-73.9863669833,,New York City Department of Housing Preservation and Development,public,1003540018,0.025068870523460400
1681 MADISON AVENUE,,NY,10029,40.7969532297,-73.9467598612,community garden,New York City Department of Housing Preservation and Development,public,1016170020,0.043388429752143000
1673 MADISON AVENUE,,NY,10029,40.7967858563,-73.9468791811,community garden,New York City Department of Housing Preservation and Development,public,1016170022,0.024104683195635000
57-61 EAST 111 STREET,,NY,10029,40.7968131784,-73.946608282,community garden,New York City Department of Housing Preservation and Development,public,1016170023,0.115840220385880200
2752 8 AVENUE,,NY,10039,40.8235385579,-73.9410009115,,New York City Department of Housing Preservation and Development,public,1020320002,0.057392102846750000
136 W137 ST,,NY,10030,40.8158316468,-73.9415099133,,New York City Department of Housing Preservation and Development,public,1019210049,0.057346189164472600
203 WEST 135 STREET,,NY,10030,40.8157917697,-73.9441183377,,New York City Department of Housing Preservation and Development,public,1019410027,0.057346189164472600
197 WEST 134 STREET,,NY,10030,40.8146112639,-73.9435521407,community green space,New York City Department of Parks and Recreation,public,1019190005,0.057346189164472600
109 WEST 126 STREET,,NY,10027,40.80877870855515,-73.94567012786865,,New York City Department of Housing Preservation and Development,public,1019110026,0.040909090909163400
415 LENOX AVE,,NY,10037,40.8116275557,-73.9431536837,,New York City Department of Housing Preservation and Development,public,1019150036,0.048806244260876200
126 WEST 134 ST.,,NY,10030,40.8139303585,-73.9431155904,community garden,New York City Department of Parks and Recreation,public,1019180051,0.068824609733822600
239-37 WEST 111 STREET,,NY,10026,40.8008876885999,-73.9562921792,community green space,New York City Department of Parks and Recreation,public,1018270014,0.115840220385880200
95 EAST 111 STREET,,NY,10029,40.7964257449,-73.9456948385,community garden,New York City Department of Housing Preservation and Development,public,1016170035,0.076446280991871000
1546 PARK AVENUE,,NY,10029,40.7966151107,-73.9456513438,community garden,New York City Department of Housing Preservation and Development,public,1016170037,0.045202020202100300
1612 LEXINGTON AVENUE,,NY,10029,40.7896475365,-73.9484738525,,New York City Department of Housing Preservation and Development,public,1016290059,0.030991735537245000
42-40 EAST 112 STREET,,NY,10029,40.7970656163,-73.9464419408,community garden,New York City Department of Housing Preservation and Development,public,1016170050,0.093250688705399400
1677 MADISON AVENUE,,NY,10029,40.796859939,-73.9468249465,community garden,New York City Department of Housing Preservation and Development,public,1016170121,0.024494949494992900
1675 MADISON AVENUE,,NY,10029,40.7968242709,-73.9468538685,community garden,New York City Department of Housing Preservation and Development,public,1016170122,0.024494949494992900
505 EAST 118 STREET,,,10035,40.79651762193664,-73.93158484652612,community garden,New York City Department of Housing Preservation and Development,public,,0.109449265381277507
165 WEST 80 STREET,,NY,10024,40.7837336267121,-73.9770088499746,,New York City Department of Housing Preservation and Development,public,1012110007,0.072704315886262900
266 WEST 96 STREET,,NY,10025,40.7947198416045,-73.9726747672684,,New York City Department of Housing Preservation and Development,public,1012430057,0.0
238 EAST 126 STREET,,NY,10035,40.803456977,-73.9337440256,,New York City Department of Housing Preservation and Development,public,1017900030,0.057346189164472600
21 WEST 119 STREET,,NY,10026,40.80310093,-73.9457110649,,New York City Department of Housing Preservation and Development,public,1017180029,0.026400367309505000
206 EAST 126 STREET,,NY,10035,40.8039709357,-73.9349643992,,New York City Department of Housing Preservation and Development,public,1017900045,0.126147842057156500
2459 SECOND AVENUE,,NY,10035,40.8034623083,-73.9334695039,,New York City Department of Housing Preservation and Development,public,1017900029,0.060055096418839200
2803 8 AVENUE,,NY,10039,40.8255967187,-73.9402692081,,New York City Department of Housing Preservation and Development,public,1020450089,0.045913682277400000
200-01 EAST 126 STREET,,NY,10035,40.8037950362,-73.9345455702,,New York City Department of Housing Preservation and Development,public,1017900040,0.068824609733822600
61 W 130 ST,,NY,10037,40.8107542347,-73.9421501673,,New York City Department of Housing Preservation and Development,public,1017280009,0.045867768595122600
151 EAST 123 STREET,,NY,10035,40.8031409287,-73.9379487562,community garden,New York City Department of Housing Preservation and Development,public,1017720022,0.081083562901888400
433 EAST 162 STREET,,NY,10451,40.8246016407,-73.9121954873,,New York City Department of Housing Preservation and Development,public,2023840048,0.080371900826588700
423 EAST 162 STREET,,NY,10451,40.8247183448,-73.9125581376,,New York City Department of Housing Preservation and Development,public,2023840053,0.086111111111263700
00901 EAGLE AVENUE,,NY,10456,40.822600626,-73.9085163804,,New York City Department of Housing Preservation and Development,public,2026200046,0.057392102846750000
675 EAGLE AVENUE,,NY,10455,40.8175931505,-73.9106042522,,New York City Department of Housing Preservation and Development,public,2026170070,0.044329660238829700
01316 FINDLAY AVENUE,,NY,10456,40.8354199873,-73.9104791125,,New York City Department of Housing Preservation and Development,public,2027820013,0.057047750229669500
749 BROOK AVENUE,,NY,10451,40.8204707585,-73.9120889353,community garden,New York City Department of Parks and Recreation,public,2023640015,0.081841138659465500
626 BERGEN AVENUE,,NY,10455,40.8172444285,-73.9140260493,,New York City Department of Housing Preservation and Development,public,2023610026,1.680440771352840000
925 BROOK AVENUE,,NY,10451,40.8247273895,-73.91153049,,New York City Department of Housing Preservation and Development,public,2023840025,0.109182736455657200
915 BROOK AVENUE,,NY,10451,40.824359198,-73.9112591714,,New York City Department of Housing Preservation and Development,public,2023840032,0.039784205693367100
BROOK AVE,,NY,10451,40.8245179997,-73.9113560532,,New York City Department of Housing Preservation and Development,public,2023840028,0.149747474747740100
913 BROOK AVENUE,,NY,10451,40.8242989752,-73.9112203252,,New York City Department of Housing Preservation and Development,public,2023840033,0.041712580349017900
911 BROOK AVENUE,,NY,10451,40.8242358161,-73.9111806644,,New York City Department of Housing Preservation and Development,public,2023840034,0.041735537190156600
425 EAST 162 STREET,,NY,10451,40.8246786713,-73.9124302444,,New York City Department of Housing Preservation and Development,public,2023840051,0.086111111111263700
409 EAST 162 STREET,,NY,10451,40.8248615476,-73.9130051025,,New York City Department of Housing Preservation and Development,public,2023840058,0.057415059687888700
413 EAST 162 STREET,,NY,10451,40.8248354139,-73.9129235331,,New York City Department of Housing Preservation and Development,public,2023840057,0.057415059687888700
405 EAST 162 STREET,,NY,10451,40.8249152769,-73.9131706439,,New York City Department of Housing Preservation and Development,public,2023840060,0.057415059687888700
407 EAST 162 STREET,,NY,10451,40.824887681,-73.9130866718,,New York City Department of Housing Preservation and Development,public,2023840059,0.057415059687888700
3120 PARK AVENUE,,NY,10451,40.823642191,-73.9175406092,,New York City Department of Housing Preservation and Development,public,2024180006,0.099931129476761100
672 ST ANNS AVENUE,,NY,10455,40.8173382522,-73.9110706474,,New York City Department of Housing Preservation and Development,public,2026170020,0.059435261708094300
0 EAST 165 STREET,,NY,10459,40.8254819387,-73.8890261329,,New York City Department of Housing Preservation and Development,public,2027500030,0.114784205693500000
972 SIMPSON STREET,,NY,10459,40.8219802918,-73.8925727768,community garden,New York City Department of Parks and Recreation,public,2027240115,0.098714416896410000
1647-49 POPHAM AVENUE,,NY,10453,40.849225422,-73.9211415113,,New York City Department of Housing Preservation and Development,public,2028770278,0.114784205693500000
404 CLAREMONT PKWAY,,NY,10457,40.8393789549,-73.9049841044,,New York City Department of Housing Preservation and Development,public,2028960096,0.064531680440885700
706 CROTONA AVE,,NY,10457,40.8441130085,-73.891868395,,New York City Department of Housing Preservation and Development,public,2029500018,0.083516988062590600
907 EAST  175 STREET,,NY,10460,40.8396152198,-73.8869678618,,New York City Department of Housing Preservation and Development,public,2029580120,0.114990817263748300
CHISHOLM ST,,NY,10459,40.8311196111,-73.8960444358,,New York City Department of Housing Preservation and Development,public,2029710038,0.054866850321493000
CHISHOLM STREET,,NY,10459,40.8312836623,-73.8960562764,,New York City Department of Housing Preservation and Development,public,2029710035,0.050734618916527000
829 FREEMAN STREET,,NY,10459,40.8305530375,-73.8966639066,,New York City Department of Housing Preservation and Development,public,2029710056,0.015220385674958100
426 EAST 163 STREET,,NY,10451,40.8249367837,-73.9123282807,,New York City Department of Housing Preservation and Development,public,2023840016,0.114944903581470900
903 ELTON AVENUE,,NY,10451,40.8241044417,-73.9116650059,,New York City Department of Housing Preservation and Development,public,2023830027,0.057254361799917800
446 EAST 162 STREET,,NY,10451,40.824154018,-73.9118889574,,New York City Department of Housing Preservation and Development,public,2023830025,0.020775941230523500
901 ELTON AVENUE,,NY,10451,40.8240609513,-73.9117347239,,New York City Department of Housing Preservation and Development,public,2023830029,0.046625344352699700
899 ELTON AVENUE,,NY,10451,40.8240030062,-73.9118205071,,New York City Department of Housing Preservation and Development,public,2023830030,0.067722681359165000
897 ELTON AVENUE,,NY,10451,40.8239591322,-73.9118747628,,New York City Department of Housing Preservation and Development,public,2023830031,0.083195592286648800
433-435 EAST 161 STREET,,NY,10451,40.8239979958,-73.912449206,,New York City Department of Housing Preservation and Development,public,2023830035,0.069490358126844900
429-31 EAST 161 STREET,,NY,10451,40.824047524,-73.9126117338,,New York City Department of Housing Preservation and Development,public,2023830037,0.070592286501502500
427-25 EAST 161 STREET,,NY,10451,40.8240998022,-73.9127814846,,New York City Department of Housing Preservation and Development,public,2023830039,0.071671258035021400
405 EAST 161 STREET,,NY,10451,40.82418170170207,-73.91344606876373,,New York City Department of Housing Preservation and Development,public,2023830048,0.038360881542767700
916 MELROSE AVENUE,,NY,10451,40.8250692007,-73.9130839127,,New York City Department of Housing Preservation and Development,public,2023840005,0.033838383838443800
403 EAST 162 STREET,,NY,10451,40.8249400419,-73.9132537158,,New York City Department of Housing Preservation and Development,public,2023840001,0.051308539944994500
EAST 162 STREET,,NY,10451,40.8244092771,-73.9116506377,community garden,New York City Department of Parks and Recreation,public,2023840038,0.145730027548467600
164 STREET,,NY,11433,40.6995963246,-73.7926980934,,New York City Department of Housing Preservation and Development,public,4101610016,0.045913682277400000
107 AVENUE,,NY,11433,40.6987411746,-73.7915797447,,New York City Department of Housing Preservation and Development,public,4101620049,0.091827364554800000
77-07 DUMONT AVENUE,,NY,11414,40.671813559,-73.8582794081,,New York City Department of Housing Preservation and Development,public,4113570037,0.087534435261863100
14726 105 AVENUE,,NY,11435,40.6960643848,-73.8028467406,,New York City Department of Housing Preservation and Development,public,4100590010,0.057392102846750000
UNION HALL STRE,,NY,11433,40.6948901957,-73.7908751668,community garden,New York City Department of Parks and Recreation,public,4101500001,0.202708907254721000
UNION HALL STRE,,NY,11433,40.691725258,-73.7891170507,,New York City Department of Housing Preservation and Development,public,4121640059,0.056450872360063300
16029 111 AVENUE,,NY,11433,40.6915908486,-73.7889455821,,New York City Department of Housing Preservation and Development,public,4121640067,0.049517906336175900
113 AVENUE,,NY,11433,40.6880392069,-73.7922369212,,New York City Department of Housing Preservation and Development,public,4121700033,0.038383838383906400
110-60 WOOD STREET,,NY,11412,40.6990301352644,-73.7711033952458,,New York City Department of Housing Preservation and Development,public,4104110006,0.137741046832200000
104-51 164 STREET,,NY,11433,40.699124455,-73.791737148,,New York City Department of Housing Preservation and Development,public,4101620056,0.045913682277400000
127-20 WILLETS POINT BLVD,,NY,11368,40.7587346263292,-73.8413421497019,,New York City Department of Housing Preservation and Development,public,4018330180,0.275482093664400000
147-22 106 AVENUE,,NY,11435,40.695473003885,-73.8021164346404,,New York City Department of Housing Preservation and Development,public,4100600010,0.057392102846750000
147-14 106 AVENUE,,NY,11435,40.6953196071545,-73.8022972003235,,New York City Department of Housing Preservation and Development,public,4100600007,0.050505050505140000
10410 164 STREET,,NY,11433,40.6999143416,-73.792921205,,New York City Department of Housing Preservation and Development,public,4101610009,0.039256198347177000
10422 164 STREET,,NY,11433,40.6996450177,-73.7927345065,,New York City Department of Housing Preservation and Development,public,4101610015,0.051744719926629800
106-39 GUY R BREWER BOULEVARD,,NY,11433,40.6988404915,-73.7925639006,,New York City Department of Housing Preservation and Development,public,4101610052,0.045913682277400000
9043 DESARC ROAD,,NY,11417,40.6735357615,-73.8443603475,,New York City Department of Housing Preservation and Development,public,4113730088,0.055096418732880000
11465 FARMERS BOULEVARD,,NY,11412,40.6962932686,-73.7613668302,,New York City Department of Housing Preservation and Development,public,4110090004,0.036730945821920000
10594 VAN WYCK EXPRESSWAY,,NY,11419,40.6885658125,-73.809456786,,New York City Department of Housing Preservation and Development,public,4095950036,0.045913682277400000
104-46 164 STREET,,NY,11433,40.6990706025,-73.7923143422,,New York City Department of Housing Preservation and Development,public,4101610027,0.045913682277400000
451 BERRY STREET,,,11211,40.70776020276044,-73.96581064207521,,New York City Housing Authority (NYCHA),public,,0.129549357208677679
265 WEST 126 STREET,,,10027,40.81077524742717,-73.94993453226503,community green space,New York City Department of Housing Preservation and Development,public,,0.153653810835901292
1811-13 PARK AVENUE,,,10035,40.80459240637122,-73.9390879869461,,New York City Department of Housing Preservation and Development,public,,0.133757346189401389
840 TINTON AVENUE,,,10456,40.82035627963178,-73.90380302143883,,New York City Department of Housing Preservation and Development,public,,0.080174012855973106
828 MELROSE AVENUE,Bronx,NY,10451,40.82305395166854,-73.91395568847656,,New York City Department of Parks and Recreation,public,2023810001,5.835752066126043432
359 EAST 157 STREET,,,10451,40.82224878239295,-73.91657217988993,,New York City Department of Housing Preservation and Development,public,,0.113343893480457962
        FARRAGUT ROAD,,,11236,40.65070613380289,-73.89829695224762,,New York City Department of Citywide Administrative Services,public,,1.885176767680108210
181 STANTON ST,,,10002,40.719713171145926,-73.98387551307678,community green space,New York City Department of Parks and Recreation,public,,0.057195133149779954
380 ROCKAWAY AVENUE,,,11212,40.67094935716122,-73.91152251190924,,New York City Department of Housing Preservation and Development,public,,0.917409320479127945
582 WESTCHESTER AVENUE,,,10455,40.8156971365518,-73.91151990945652,community garden,New York City Department of Parks and Recreation,public,,0.380351698806918244
1217 HOE AVENUE,,,10459,40.829322697395455,-73.89114539407889,community garden,New York City Department of Parks and Recreation,public,,0.375513544536937219
2018 FULTON STREET,,,11233,40.67839673852214,-73.91743397032447,,New York City Department of Housing Preservation and Development,public,,0.369843434344089706
