address line1,city,state province,postal code,latitude,longitude,known use,owner,owner type,bbl,area acres
        WARWICK STREET,,,11207,40.6726283813186,-73.88592722299575,community garden,New York City Department of Parks and Recreation,public,,0.119749081726566649
435 CLEVELAND STREET,,,11208,40.6741627806204,-73.88407351985651,community garden,New York City Department of Parks and Recreation,public,,0.090915059687948062
        BRADFORD STREET,,NY,11207,40.6660410516,-73.8907801096,community garden,New York City Department of Parks and Recreation,public,3038090038,0.062557392102957500
11 WOLCOTT STREET,,NY,11231,40.6753670225,-74.0104656633,community garden,Brooklyn Public Library,public,3005770027,0.045913682277400000
281 COLUMBIA STREET,,,11231,40.682466770909926,-74.00366322532483,community garden,New York City Department of Parks and Recreation,public,,0.110966023875311416
261 COLUMBIA STREET,,,11231,40.68313576257561,-74.00334404092582,community garden,New York City Department of Parks and Recreation,public,,0.115026859504336059
1905 BERGEN STREET,,,11233,40.67460728716931,-73.9182191220594,community garden,New York City Department of Parks and Recreation,public,,0.146975206611830688
1123 ST MARK'S AVENUE,,NY,11213,40.6745243047,-73.9325670765,community garden,New York City Department of Parks and Recreation,public,3013540080,0.073324150597007800
        HOPKINSON AVENUE,,,11233,40.683817184317526,-73.91438155294327,community garden,New York City Department of Parks and Recreation,public,,0.115257116620957220
196 VERNON AVENUE,,,11206,40.69499110104271,-73.94394487100487,community garden,New York City Department of Parks and Recreation,public,,0.154354224059043029
        MONROE STREET,,,11216,40.686289928386685,-73.94521180293081,community garden,New York City Department of Parks and Recreation,public,,0.071823002754948207
        MALCOLM X BOULEVARD,,NY,11221,40.6894461477,-73.9300711388,community garden,New York City Department of Parks and Recreation,public,3016270001,0.039026629935790000
9 ROCHESTER AVENUE,,,11233,40.67878348404383,-73.92710909864296,community garden,New York City Department of Parks and Recreation,public,,0.084134067952398856
324 HANCOCK STREET,,,11216,40.683104182097104,-73.9430588777838,community garden,New York City Department of Parks and Recreation,public,,0.079976354453768899
1464 BROADWAY,,,11221,40.687728792246254,-73.91946525529562,community garden,New York City Department of Parks and Recreation,public,,0.164093893480547891
2084 PACIFIC STREET,,NY,11233,40.675568,-73.916029,community garden,New York City Department of Parks and Recreation,public,3014400012,0.144628099173810000
253 THROOP AVENUE,,NY,11206,40.6952008702,-73.9430906734,community garden,New York City Department of Parks and Recreation,public,3017610004,0.039026629935790000
1099 DEAN STREET,,,11216,40.67742925287565,-73.95364419856541,community garden,New York City Department of Parks and Recreation,public,,0.149896694215141650
98 CEDAR STREET,,NY,11221,40.697785,-73.926087,,New York City Police Department,public,3032320039,0.022382920110232500
808 HERKIMER STREET,,NY,11233,40.6781931876,-73.9266399017,community garden,New York City Department of Parks and Recreation,public,3017090022,0.028122130394907500
        LINDEN BOULEVARD,,NY,0,40.6570916438,-73.899532608,,New York City Human Resources Administration,public,3038710051,0.044031221304026600
1800 PARK PLACE,,NY,11233,40.6715729268293,-73.9178273170732,,New York City Housing Authority (NYCHA),public,3014670035,1.323002754823281000
200 TAPSCOTT STREET,,NY,11212,40.6630486246,-73.9200784258,,New York City Housing Authority (NYCHA),public,3035490044,0.056244260789815000
1451 EAST NEW YORK AVENUE,,NY,11212,40.671087,-73.913974,,New York City Police Department,public,3014690022,0.028328741965155800
492 GREENE AVENUE,,NY,11216,40.688183,-73.950987,,New York City Housing Authority (NYCHA),public,3017980007,0.049357208448205000
396 BELMONT AVENUE,,NY,11207,40.6705134755,-73.8949940772,,New York City Human Resources Administration,public,3037550020,0.060238751147948800
